,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Collaborative Teachers - Percent Positive,Collaborative Teachers Rating,Economic Need Index,Effective School Leadership - Percent Positive,Effective School Leadership Rating,Enrollment,Percent Asian,Percent Black,Percent English Language Learners,Percent HRA Eligible,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percent in Temp Housing,Percent in Temp Housing - 4yr,Percent of Students Chronically Absent,Percent of teachers with 3 or more years of experience,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How effective is the teaching and learning?,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How well do teachers work with each other?,Quality Review - How well does the school assess what students are learning?,Rigorous Instruction - Percent Positive,Rigorous Instruction Rating,Strong Family-Community Ties - Percent Positive,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment - Percent Positive,Supportive Environment Rating,Teacher Attendance Rate,Trust - Percent Positive,Trust Rating,Years of principal experience at this school
1174,3.05,2.66,0.0,4,0.376,0.93,4,445,0.151,0.17800000000000002,0.009000000000000001,0.252,0.416,0.061,0.204,0.213,0.036000000000000004,0.036000000000000004,0.189,0.691,4,3,4,4,3,0.83,3,0.9,3,4,0.931,0.77,4,0.981,0.93,4,7.0
845,1.98,2.03,0.0,3,0.888,0.96,4,288,0.028,0.038,0.743,0.3720000000000001,0.91,0.003,0.076,0.024,0.406,0.406,0.462,0.609,3,3,3,3,3,0.84,3,0.85,3,2,0.855,0.77,2,0.953,0.93,4,7.0
980,2.35,2.09,0.0,3,0.8190000000000001,0.78,3,349,0.02,0.261,0.201,0.628,0.685,0.037000000000000005,0.287,0.032,0.163,0.163,0.276,0.484,3,2,3,3,3,0.7,2,0.86,3,3,0.902,0.6,3,0.96,0.84,3,2.0
727,2.67,2.61,0.0,3,0.598,0.91,4,513,0.09,0.051,0.014,0.458,0.78,0.0,0.156,0.07400000000000001,0.023,0.023,0.2,1.0,3,3,3,3,3,0.88,3,0.74,2,3,0.932,0.79,3,0.96,0.91,3,8.8
976,2.71,2.41,0.0,4,0.7759999999999999,0.91,4,473,0.03,0.294,0.133,0.5670000000000001,0.632,0.008,0.254,0.023,0.131,0.131,0.361,0.5,4,3,4,4,4,0.83,4,0.86,3,4,0.878,0.82,4,0.984,0.92,4,9.9
227,2.2,2.03,95.0,3,84.3,92.0,4,520,1.8,39.8,12.8,66.2,55.8,0.3,21.4,2.4,15.7,15.7,56.5,68.8,3,2,3,3,3,85.0,2,84.0,4,3,79.9,84.0,3,96.9,93.0,4,8.0
679,2.75,2.49,0.0,3,0.604,0.93,4,413,0.036000000000000004,0.8059999999999999,0.017,0.443,0.131,0.002,0.14300000000000002,0.012,0.063,0.063,0.241,0.8079999999999999,3,3,4,3,3,0.83,3,0.83,3,3,0.919,0.65,3,0.964,0.89,3,2.8
548,2.29,2.09,0.0,4,0.8959999999999999,0.87,3,420,0.005,0.448,0.124,0.74,0.512,0.05,0.207,0.024,0.221,0.221,0.664,0.621,4,3,4,4,3,0.84,3,0.94,4,2,0.767,0.73,3,0.96,0.92,4,0.7
666,2.47,2.14,0.0,3,0.701,0.79,3,352,0.003,0.813,0.014,0.537,0.165,0.003,0.185,0.017,0.125,0.125,0.402,0.708,3,2,3,3,3,0.82,3,0.85,3,2,0.86,0.6,2,0.949,0.82,3,9.0
717,2.32,2.07,0.0,3,0.72,0.87,3,252,0.004,0.889,0.032,0.5,0.099,0.004,0.28600000000000003,0.004,0.179,0.179,0.547,0.684,4,3,3,3,3,0.77,3,0.83,3,2,0.807,0.73,3,0.971,0.88,3,9.5
66,3.53,3.26,92.0,4,27.8,86.0,3,1285,8.9,13.7,0.1,15.6,23.8,0.0,5.8,51.8,1.2,1.2,5.5,86.4,4,3,4,4,4,88.0,4,75.0,3,3,96.4,92.0,4,98.2,92.0,3,10.9
67,3.58,3.35,70.0,2,25.3,52.0,1,2635,19.4,11.3,0.0,13.2,19.4,0.0,2.3,45.3,0.9,0.9,9.3,91.9,3,3,3,4,3,79.0,2,67.0,1,4,95.4,81.0,3,96.5,71.0,1,1.8
1043,2.74,2.47,0.0,4,0.6459999999999999,0.92,4,565,0.025,0.313,0.025,0.457,0.596,0.005,0.253,0.051,0.097,0.097,0.256,0.8,4,3,4,4,3,0.93,4,0.88,3,4,0.911,0.96,4,0.977,0.95,4,8.5
