,ID,School Name_x,Total Grads % of cohort,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Collaborative Teachers - Percent Positive,Collaborative Teachers Rating,Economic Need Index,Effective School Leadership - Percent Positive,Effective School Leadership Rating,Enrollment,Percent Asian,Percent Black,Percent English Language Learners,Percent HRA Eligible,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percent in Temp Housing,Percent in Temp Housing - 4yr,Percent of Students Chronically Absent,Percent of teachers with 3 or more years of experience,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How effective is the teaching and learning?,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How well do teachers work with each other?,Quality Review - How well does the school assess what students are learning?,Rigorous Instruction - Percent Positive,Rigorous Instruction Rating,Strong Family-Community Ties - Percent Positive,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment - Percent Positive,Supportive Environment Rating,Teacher Attendance Rate,Trust - Percent Positive,Trust Rating,Years of principal experience at this school
79,04M555_2015,CENTRAL PARK EAST HIGH SCHOOL,96.9,2.71,2.59,94,4,74.2%,93%,4,466,7.3%,24.5%,3.0%,58.4%,63.3%,0.4%,13.7%,3.9%,7.9%,7.9%,16.7%,74.2%,4,4,4,4,4,87%,4,73%,3,4,94.3%,91%,4,98.1%,96%,4,10.0
80,04M610_2015,YOUNG WOMEN'S LEADERSHIP SCHOOL,98.6,2.85,2.8,97,4,72.2%,92%,4,480,8.9%,27.9%,0.9%,53.4%,57.4%,0.0%,17.5%,3.4%,7.4%,7.4%,16.3%,62.1%,4,4,4,4,3,90%,4,72%,2,4,94.8%,87%,3,96.5%,94%,4,8.0
81,04M680_2015,HERITAGE SCHOOL THE,59.3,2.2,2.06,90,3,80.6%,86%,3,322,1.2%,32.3%,5.9%,65.2%,63.7%,0.0%,29.2%,1.9%,14.0%,14.0%,52.2%,68.0%,3,2,2,3,3,84%,2,76%,3,2,82.7%,73%,2,92.3%,87%,2,3.6
82,05M304_2015,MOTT HALL HIGH SCHOOL,66.7,2.22,2.15,81,3,80.5%,72%,2,428,0.9%,38.3%,11.2%,65.7%,59.1%,2.8%,23.6%,0.7%,9.6%,9.6%,41.2%,72.7%,3,2,2,3,3,78%,2,83%,3,2,86.8%,81%,3,96.0%,85%,3,4.8
83,05M362_2015,COLUMBIA SECONDARY SCHOOL,98.8,3.45,3.0,92,4,50.7%,90%,4,659,13.7%,22.0%,0.0%,35.2%,48.1%,0.0%,3.2%,14.8%,3.2%,3.2%,13.1%,66.7%,4,4,4,4,3,87%,4,84%,4,4,95.7%,88%,4,97.2%,93%,4,3.9
84,05M367_2015,ACADEMY FOR SOCIAL ACTION,58.3,2.07,1.96,94,3,79.7%,88%,3,234,0.5%,46.5%,18.9%,60.4%,49.3%,6.5%,27.6%,2.8%,17.1%,17.1%,68.1%,61.1%,3,2,3,3,3,85%,2,81%,3,2,70.9%,74%,2,93.8%,89%,2,4.6
85,05M369_2015,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,77.3,2.22,2.11,87,3,77.5%,86%,3,358,0.8%,52.2%,4.7%,63.4%,43.0%,1.1%,20.7%,1.4%,12.6%,12.6%,62.8%,56.5%,3,2,3,3,3,80%,2,72%,2,3,81.0%,83%,2,96.7%,90%,3,0.9
86,05M469_2015,CHOIR ACADEMY OF HARLEM,38.5,2.34,2.11,88,0,83.2%,89%,0,77,0.0%,78.0%,0.0%,60.0%,20.0%,0.0%,20.0%,2.0%,20.0%,20.0%,80.0%,100.0%,3,2,2,3,2,81%,0,91%,0,0,68.2%,79%,0,97.0%,93%,0,0.8
87,05M499_2015,FREDERICK DOUGLASS ACADEMY,63.7,2.51,2.46,86,3,70.8%,75%,2,1428,1.7%,70.4%,1.8%,50.5%,23.2%,1.0%,10.3%,1.4%,9.5%,9.5%,30.5%,84.3%,3,2,3,4,3,89%,3,78%,3,2,89.1%,79%,3,95.7%,85%,2,3.7
88,05M670_2015,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,77.6,2.46,2.31,90,3,73.2%,82%,3,561,1.3%,77.6%,1.8%,57.2%,19.6%,0.3%,17.6%,0.8%,6.3%,6.3%,20.6%,86.8%,3,2,3,3,3,79%,2,74%,2,3,92.4%,79%,3,95.0%,91%,3,4.0
89,05M685_2015,BREAD & ROSES INTEGRATED ARTS HS,34.9,2.03,1.96,85,0,81.2%,81%,0,100,0.0%,52.0%,15.0%,68.0%,48.0%,19.0%,37.0%,0.0%,11.0%,11.0%,70.5%,85.7%,2,2,2,2,2,88%,0,87%,0,0,75.2%,81%,0,94.7%,88%,0,4.4
90,05M692_2015,HIGH SCHOOL FOR MATHEMATICS SCIENCE AND ENGINEERIN,97.9,3.7,3.83,90,4,39.7%,89%,4,470,38.5%,9.6%,0.2%,25.1%,21.7%,0.4%,3.8%,26.8%,3.2%,3.2%,8.5%,96.9%,4,4,4,4,4,93%,4,75%,3,4,96.4%,90%,4,98.1%,90%,3,3.7
91,06M293_2015,CITY COLLEGE ACADEMY OF THE ARTS,94.2,2.82,2.92,79,3,70.8%,67%,1,587,0.9%,3.8%,2.3%,49.9%,94.1%,0.0%,13.2%,1.2%,5.6%,5.6%,16.3%,87.8%,3,2,3,3,2,85%,2,71%,2,4,94.3%,88%,3,97.8%,84%,2,10.0
92,06M346_2015,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,53.3,2.22,2.1,95,4,85.0%,91%,4,629,0.0%,4.9%,21.9%,68.8%,91.8%,1.6%,20.8%,2.7%,14.5%,14.5%,50.6%,68.0%,4,2,3,3,3,87%,3,80%,3,3,81.2%,89%,3,97.3%,95%,4,4.1
93,06M348_2015,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,64.9,2.36,2.51,87,4,84.0%,76%,2,705,0.3%,3.8%,14.7%,68.9%,94.8%,0.3%,23.2%,0.5%,13.1%,13.1%,43.6%,83.9%,4,3,3,4,3,83%,3,79%,2,2,85.5%,89%,3,96.0%,92%,3,9.0
94,06M462_2015,THE COLLEGE ACADEMY,45.9,2.05,2.05,90,3,83.8%,81%,3,491,0.2%,9.0%,44.4%,69.0%,89.2%,4.3%,21.0%,0.6%,16.9%,16.9%,44.5%,86.2%,3,3,3,3,3,84%,3,78%,3,3,85.2%,81%,3,95.9%,90%,3,4.3
95,06M463_2015,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,50.4,2.18,2.09,78,3,83.2%,68%,2,479,1.9%,13.8%,33.8%,67.2%,82.5%,3.5%,19.8%,1.3%,19.0%,19.0%,49.0%,78.6%,3,2,3,3,3,76%,2,79%,3,2,82.6%,81%,3,95.5%,85%,2,7.0
96,06M467_2015,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,62.5,2.22,2.12,86,3,79.9%,84%,3,671,0.4%,16.8%,27.4%,63.5%,80.8%,8.0%,20.7%,1.6%,14.2%,14.2%,38.4%,92.7%,3,2,3,3,3,87%,3,88%,4,3,87.6%,81%,3,95.8%,91%,3,15.8
97,06M468_2015,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,65.4,2.2,2.12,74,2,83.8%,67%,2,605,1.3%,15.9%,30.7%,65.3%,79.8%,0.2%,18.2%,1.5%,20.5%,20.5%,44.5%,67.6%,3,2,3,3,2,80%,2,89%,4,2,85.7%,81%,3,96.0%,83%,3,2.4
98,06M540_2015,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,75.0,2.5,2.37,84,3,77.2%,81%,3,1354,4.9%,32.0%,6.9%,61.9%,59.7%,3.3%,14.1%,1.7%,10.3%,10.3%,39.6%,78.3%,3,2,3,3,3,85%,3,76%,3,2,86.1%,86%,0,95.4%,88%,3,3.6
99,06M552_2015,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHE,68.8,1.76,2.03,93,3,82.3%,91%,4,504,0.0%,0.0%,83.3%,55.8%,100.0%,0.0%,1.6%,0.0%,31.0%,31.0%,24.1%,90.0%,3,2,2,4,2,94%,2,82%,4,3,91.4%,92%,4,96.7%,96%,4,15.4
100,07X221_2015,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,92.3,2.34,2.21,92,4,87.2%,87%,3,654,1.7%,25.2%,2.8%,70.0%,70.3%,0.3%,21.2%,1.4%,9.6%,9.6%,35.7%,61.7%,4,3,4,4,4,89%,4,74%,2,4,89.6%,89%,4,97.0%,91%,3,8.0
101,07X334_2015,INTERNATIONAL COMMUNITY HIGH SCHOOL,52.7,1.73,1.91,96,3,79.0%,93%,4,463,6.5%,14.0%,86.0%,49.7%,76.7%,0.4%,3.2%,1.3%,24.8%,24.8%,42.9%,71.4%,3,3,2,3,3,90%,3,85%,4,3,83.4%,88%,3,97.8%,97%,4,8.5
102,07X427_2015,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,54.8,2.15,2.09,92,4,84.1%,93%,4,324,1.5%,29.6%,9.9%,68.5%,67.3%,1.5%,25.0%,1.2%,15.1%,15.1%,61.4%,66.7%,4,3,4,4,4,88%,4,87%,4,3,79.4%,92%,3,96.9%,96%,4,12.9
103,07X473_2015,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,45.5,2.15,2.08,79,3,82.4%,72%,2,364,0.3%,25.3%,9.6%,66.5%,73.6%,0.3%,21.7%,0.5%,11.3%,11.3%,57.4%,65.4%,3,2,2,3,2,80%,2,80%,3,2,79.9%,85%,3,96.6%,86%,3,2.3
104,07X495_2015,UNIVERSITY HEIGHTS SECONDARY SCHOOL,89.6,2.73,2.64,92,3,80.5%,89%,4,486,3.1%,30.0%,2.1%,66.0%,64.6%,0.4%,8.2%,1.6%,7.2%,7.2%,22.7%,85.0%,3,3,3,4,3,94%,3,80%,3,4,92.7%,88%,4,96.8%,92%,3,5.8
105,07X500_2015,HOSTOSLINCOLN ACADEMY OF SCIENCE,78.9,2.64,2.58,79,2,79.9%,71%,2,544,3.8%,22.5%,2.9%,59.4%,69.9%,0.6%,16.7%,1.5%,7.9%,7.9%,24.0%,80.6%,2,2,3,3,3,83%,2,77%,3,3,91.5%,76%,2,93.8%,86%,3,10.9
106,07X520_2015,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,38.6,2.06,1.94,77,2,86.0%,69%,2,145,2.8%,26.9%,21.4%,69.7%,67.6%,15.9%,31.7%,1.4%,15.2%,15.2%,60.9%,92.3%,3,2,2,2,2,84%,2,69%,2,2,79.4%,77%,2,96.0%,81%,2,0.9
107,07X522_2015,BRONX DESIGN AND CONSTRUCTION ACADEMY,39.8,2.2,2.19,94,3,82.4%,92%,4,563,1.4%,24.0%,14.2%,68.0%,70.5%,3.9%,25.2%,3.4%,9.6%,9.6%,56.9%,58.5%,3,2,3,4,3,86%,3,77%,3,1,81.4%,82%,3,97.3%,94%,4,0.8
108,07X527_2015,BRONX LEADERSHIP ACADEMY II HS,57.9,2.13,2.12,87,4,83.1%,84%,3,495,2.2%,32.3%,13.9%,68.9%,63.4%,3.4%,26.7%,0.8%,10.9%,10.9%,46.3%,56.8%,4,3,3,4,3,71%,2,75%,3,3,85.4%,89%,3,96.8%,94%,4,4.9
109,07X547_2015,NEW EXPLORERS HIGH SCHOOL,54.5,2.11,2.01,73,0,85.5%,84%,0,475,0.4%,31.4%,10.3%,70.5%,67.6%,11.8%,26.1%,0.4%,14.5%,14.5%,47.9%,78.1%,3,2,3,3,3,70%,0,77%,0,2,80.9%,79%,3,96.6%,83%,0,5.5
110,07X548_2015,CAREERS IN SPORTS HIGH SCHOOL,74.5,2.39,2.31,96,4,82.0%,93%,4,587,0.2%,28.6%,7.2%,67.5%,69.5%,0.5%,23.3%,1.4%,11.6%,11.6%,48.9%,85.3%,3,2,3,3,3,93%,3,72%,2,2,80.1%,85%,3,96.1%,94%,3,4.4
111,07X551_2015,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,58.5,2.15,2.02,79,2,88.2%,72%,2,591,0.9%,30.4%,13.6%,71.1%,66.9%,11.1%,25.0%,1.5%,7.5%,7.5%,48.4%,36.7%,3,2,3,4,3,80%,2,77%,2,3,82.8%,76%,3,97.2%,83%,2,0.9
112,07X600_2015,ALFRED E SMITH CAREER AND TECHNICAL EDUCATION HIGH,63.0,2.08,2.03,77,3,79.8%,77%,2,375,1.1%,29.1%,19.2%,64.0%,68.3%,6.9%,28.3%,0.8%,14.7%,14.7%,52.3%,80.6%,3,2,2,3,2,85%,2,74%,2,3,83.0%,75%,2,95.1%,84%,2,3.0
113,07X655_2015,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HS,46.8,2.15,2.1,86,0,83.3%,73%,0,78,0.0%,32.1%,10.3%,66.7%,64.1%,1.3%,32.1%,2.6%,10.3%,10.3%,83.9%,91.7%,0,0,0,0,0,82%,0,84%,0,0,70.0%,74%,0,93.6%,88%,0,12.0
114,07X670_2015,HEALTH OPPORTUNITIES HIGH SCHOOL,57.9,2.18,2.12,87,3,83.4%,85%,3,554,3.1%,36.1%,7.8%,68.8%,57.9%,8.1%,19.3%,1.8%,11.7%,11.7%,57.1%,66.7%,3,2,3,3,3,85%,2,87%,4,3,79.0%,84%,3,97.1%,91%,3,3.6
115,08X269_2015,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,59.1,2.29,2.24,84,3,85.3%,82%,3,565,1.2%,20.3%,12.0%,72.9%,76.9%,5.5%,24.0%,0.6%,11.1%,11.1%,45.2%,51.2%,3,2,3,3,3,81%,2,75%,2,2,86.4%,79%,2,97.3%,91%,3,11.0
116,08X282_2015,WOMEN'S ACADEMY OF EXCELLENCE,57.0,2.21,2.09,84,3,76.7%,78%,2,345,3.5%,50.1%,4.6%,59.1%,41.2%,1.2%,22.0%,2.6%,13.0%,13.0%,64.1%,73.1%,3,2,3,3,2,84%,2,66%,2,2,78.7%,66%,2,95.7%,81%,2,11.0
117,08X293_2015,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECH,72.1,2.28,2.09,93,4,73.0%,92%,4,444,3.2%,27.9%,3.6%,59.7%,61.0%,0.5%,24.1%,7.2%,7.7%,7.7%,49.6%,71.4%,4,3,4,4,4,82%,3,68%,2,3,83.1%,84%,3,97.5%,93%,3,7.0
118,08X295_2015,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECH,48.7,2.11,1.97,85,0,70.7%,86%,0,70,1.4%,31.4%,17.1%,54.3%,64.3%,1.4%,37.1%,2.9%,8.6%,8.6%,67.6%,88.9%,0,0,0,0,0,90%,0,85%,0,0,81.4%,82%,0,95.3%,90%,0,0.9
119,08X305_2015,PABLO NERUDA ACADEMY,53.0,2.05,1.96,91,3,80.3%,90%,4,315,4.4%,26.0%,18.4%,61.9%,67.6%,2.2%,35.6%,1.3%,15.6%,15.6%,44.7%,63.3%,3,2,2,3,2,82%,2,75%,3,2,84.2%,78%,3,97.0%,93%,3,1.3
120,08X312_2015,MILLENNIUM ART ACADEMY,60.5,2.26,2.11,86,3,78.5%,84%,3,487,2.3%,30.0%,4.7%,64.1%,65.1%,0.6%,29.4%,1.8%,9.2%,9.2%,43.6%,81.3%,3,2,2,3,2,85%,2,75%,3,3,85.5%,81%,3,96.2%,93%,4,3.0
121,08X332_2015,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,59.5,2.06,1.99,94,3,83.6%,84%,3,236,0.4%,43.2%,11.0%,66.1%,54.7%,8.1%,29.7%,0.4%,18.6%,18.6%,45.0%,82.4%,3,2,2,3,2,85%,2,74%,3,2,85.0%,84%,3,94.8%,91%,3,9.0
122,08X367_2015,ARCHIMEDES ACADEMY FOR MATH SCIENCE AND TECHNOLOGY,54.7,2.25,2.16,78,2,72.3%,66%,1,637,5.5%,30.9%,6.3%,53.7%,60.6%,12.4%,28.7%,2.2%,9.1%,9.1%,36.5%,71.2%,3,3,3,4,3,81%,3,71%,2,2,87.7%,80%,3,96.7%,83%,2,8.0
123,08X376_2015,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOA,61.8,2.2,2.05,71,0,75.6%,61%,0,450,6.3%,26.2%,14.3%,54.0%,65.4%,1.3%,25.3%,1.3%,16.0%,16.0%,52.1%,70.3%,2,2,2,3,2,84%,0,74%,2,2,80.9%,74%,2,95.7%,85%,2,0.5
124,08X405_2015,HERBERT H LEHMAN HIGH SCHOOL,34.5,2.25,2.13,72,2,70.7%,58%,1,1535,9.2%,23.6%,10.3%,54.5%,54.9%,11.6%,25.3%,10.6%,7.8%,7.8%,52.1%,92.7%,3,3,3,3,3,82%,3,70%,0,2,79.4%,73%,2,94.4%,78%,0,3.8
125,08X432_2015,BRONX BRIDGES HIGH SCHOOL,48.8,1.8,1.98,80,3,83.4%,68%,1,333,7.8%,6.6%,82.3%,63.1%,82.9%,0.6%,11.7%,1.8%,27.0%,27.0%,54.0%,38.7%,3,2,2,4,3,80%,2,72%,2,2,83.2%,82%,3,96.7%,83%,3,0.8
126,08X452_2015,GOTHAM COLLABORATIVE HIGH SCHOOL,57.4,2.17,1.98,94,3,82.1%,88%,3,326,4.0%,32.2%,10.4%,66.3%,61.7%,0.6%,30.7%,1.2%,13.5%,13.5%,72.8%,63.6%,3,3,3,4,3,87%,3,78%,3,2,74.2%,80%,3,97.7%,92%,3,9.0
127,08X519_2015,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB,39.4,2.13,1.98,82,3,82.1%,77%,2,307,2.0%,25.4%,10.1%,65.1%,67.8%,6.2%,27.4%,2.9%,20.5%,20.5%,56.9%,52.2%,3,2,3,3,2,80%,2,80%,3,2,79.3%,71%,2,96.5%,84%,2,9.9
128,08X530_2015,LONGWOOD PREPARATORY ACADEMY,42.5,2.02,1.94,59,1,85.1%,47%,1,325,0.0%,37.2%,11.4%,70.2%,60.6%,14.8%,31.7%,1.2%,18.5%,18.5%,74.6%,40.0%,2,2,2,2,2,78%,2,70%,2,2,71.5%,77%,1,97.9%,65%,1,2.6
129,08X559_2015,SCHOOL FOR TOURISM AND HOSPITALITY,,2.13,2.06,83,0,84.7%,81%,0,240,1.3%,35.4%,15.4%,67.5%,60.4%,2.5%,17.1%,0.0%,15.8%,15.8%,48.9%,61.9%,3,2,3,3,3,87%,0,80%,0,0,83.1%,77%,0,98.2%,91%,0,2.4
130,08X650_2015,JANE ADDAMS HS FOR ACADEMIC CAREERS,55.2,2.03,2.07,84,0,84.3%,74%,0,147,0.0%,32.7%,8.8%,71.4%,63.9%,0.7%,31.3%,2.7%,4.1%,4.1%,75.7%,100.0%,0,0,0,0,0,87%,0,82%,0,0,70.7%,83%,0,94.7%,92%,0,3.4
131,08X561_2015,BRONX COMPASS HIGH SCHOOL,,2.26,2.1,89,0,78.8%,88%,0,332,2.4%,34.6%,8.1%,61.7%,60.2%,0.9%,28.3%,0.9%,16.3%,16.3%,60.6%,28.0%,3,2,3,4,3,83%,0,75%,0,0,80.2%,86%,0,96.4%,94%,0,3.0
132,09X227_2015,BRONX COLLEGIATE ACADEMY,50.0,2.09,2.01,94,3,83.3%,94%,4,382,1.0%,28.5%,27.2%,67.3%,69.1%,8.1%,23.0%,0.3%,16.8%,16.8%,57.6%,82.6%,3,2,3,4,3,85%,3,79%,3,2,80.1%,86%,3,94.5%,94%,4,4.3
133,09X231_2015,EAGLE ACADEMY FOR YOUNG MEN,63.8,2.24,2.15,86,3,70.5%,83%,3,608,0.3%,60.7%,2.2%,48.2%,36.0%,7.0%,27.9%,0.5%,8.1%,8.1%,39.7%,82.9%,3,2,3,4,2,82%,2,85%,4,3,86.1%,77%,3,95.2%,89%,3,4.9
134,09X241_2015,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,83.1,2.33,2.42,82,3,82.2%,79%,2,619,1.4%,33.0%,5.1%,59.8%,64.1%,0.6%,20.2%,1.1%,7.4%,7.4%,33.7%,55.8%,4,3,4,4,4,82%,3,77%,2,3,89.6%,80%,3,96.7%,86%,3,2.9
135,09X250_2015,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOA,82.6,2.33,2.23,92,4,79.6%,88%,4,449,1.1%,45.2%,8.9%,62.1%,52.1%,0.7%,20.0%,0.7%,12.7%,12.7%,34.6%,66.7%,4,4,4,4,4,90%,4,86%,4,4,89.3%,86%,4,97.4%,93%,4,3.8
136,09X252_2015,MOTT HALL BRONX HIGH SCHOOL,78.9,2.26,2.28,84,3,84.0%,78%,2,402,1.2%,20.1%,10.9%,69.2%,75.6%,10.4%,23.4%,1.2%,9.0%,9.0%,41.3%,37.0%,3,3,3,4,3,75%,2,76%,3,3,85.9%,82%,3,97.1%,89%,3,3.7
137,09X260_2015,BRONX CENTER FOR SCIENCE AND MATHEMATICS,90.1,2.74,2.64,91,4,75.3%,87%,3,457,6.3%,25.4%,3.3%,58.0%,65.9%,3.9%,17.7%,1.5%,6.6%,6.6%,26.8%,64.3%,4,4,4,4,4,83%,4,75%,3,4,92.0%,86%,3,97.1%,93%,4,10.0
138,09X263_2015,VALIDUS PREPARATORY ACADEMY,55.7,2.17,2.17,81,3,83.7%,78%,2,375,1.6%,26.9%,11.5%,66.7%,70.7%,7.5%,22.4%,0.8%,10.1%,10.1%,43.5%,59.3%,3,2,2,3,2,77%,2,76%,3,3,84.3%,82%,0,95.9%,89%,3,1.0
139,09X276_2015,LEADERSHIP INSTITUTE,28.6,2.02,1.95,85,3,90.2%,74%,2,207,0.0%,34.3%,21.3%,75.8%,63.3%,4.8%,30.0%,1.9%,16.4%,16.4%,63.1%,62.5%,3,2,3,2,3,84%,2,86%,4,2,74.9%,79%,2,97.4%,93%,4,7.9
140,09X297_2015,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,64.3,2.14,2.0,82,3,85.0%,87%,3,471,0.8%,26.3%,18.7%,68.6%,72.0%,5.1%,25.3%,0.4%,14.9%,14.9%,56.5%,82.9%,4,3,4,3,4,87%,4,74%,2,3,79.6%,83%,3,96.4%,88%,3,2.5
141,09X324_2015,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,93.3,2.41,2.23,94,4,81.9%,88%,3,503,3.6%,28.7%,6.8%,59.9%,67.4%,0.7%,15.1%,0.4%,8.2%,8.2%,44.4%,43.8%,4,3,4,4,4,90%,4,74%,2,4,85.8%,84%,3,95.9%,90%,3,3.8
142,09X327_2015,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,,2.49,2.76,94,4,86.2%,91%,4,628,0.0%,23.3%,5.7%,70.3%,76.0%,6.3%,21.5%,0.6%,6.3%,6.3%,27.4%,61.4%,4,3,4,4,3,93%,4,79%,3,0,90.3%,85%,3,97.2%,93%,4,0.9
143,09X329_2015,DREAMYARD PREPARATORY SCHOOL,58.6,2.17,2.04,97,4,85.9%,94%,4,336,1.5%,33.6%,21.4%,68.2%,60.7%,3.0%,19.6%,1.2%,24.4%,24.4%,52.3%,56.5%,3,2,2,3,2,96%,2,85%,4,2,79.2%,88%,3,96.9%,96%,4,3.2
144,09X365_2015,ACADEMY FOR LANGUAGE AND TECHNOLOGY,92.9,1.81,2.06,89,3,83.1%,85%,3,322,0.0%,0.3%,74.5%,61.2%,99.7%,0.0%,4.3%,0.0%,22.0%,22.0%,29.8%,25.0%,3,3,4,4,4,86%,4,77%,3,4,91.7%,91%,4,98.1%,89%,3,1.7
145,09X403_2015,BRONX INTERNATIONAL HIGH SCHOOL,70.4,1.78,1.91,91,4,82.6%,80%,3,409,3.4%,20.0%,88.3%,58.2%,74.1%,0.0%,4.9%,1.7%,24.9%,24.9%,40.7%,80.0%,4,3,3,3,3,92%,3,80%,3,3,84.3%,87%,3,96.1%,93%,4,9.0
146,09X404_2015,SCHOOL FOR EXCELLENCE,53.6,2.12,2.07,84,3,87.5%,86%,3,421,0.7%,26.6%,27.1%,72.4%,70.8%,5.0%,27.8%,1.0%,23.3%,23.3%,63.9%,96.3%,3,2,2,3,3,91%,2,74%,3,3,75.3%,79%,2,95.4%,89%,3,5.2
147,09X412_2015,BRONX HIGH SCHOOL OF BUSINESS,37.8,2.07,2.01,74,2,82.5%,59%,1,339,1.5%,33.3%,29.8%,59.6%,63.1%,9.1%,26.3%,1.2%,18.6%,18.6%,51.7%,81.6%,3,2,2,2,2,81%,2,72%,2,2,78.9%,78%,2,96.2%,77%,1,3.3
148,09X413_2015,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,83.7,2.51,2.48,92,3,80.1%,81%,3,472,7.1%,36.7%,1.4%,60.5%,53.4%,4.8%,9.5%,0.7%,8.2%,8.2%,22.4%,63.3%,2,2,2,2,2,90%,2,81%,3,3,92.8%,82%,2,98.1%,91%,3,13.0
149,09X414_2015,JONATHAN LEVIN HS FOR MEDIA AND COMMUNICATIONS,41.2,2.05,1.98,90,0,84.6%,90%,0,160,1.3%,20.6%,40.0%,63.8%,76.9%,10.6%,26.9%,1.3%,21.3%,21.3%,69.8%,100.0%,2,2,3,3,2,84%,0,89%,0,0,75.3%,80%,0,96.0%,92%,0,0.8
150,09X505_2015,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,71.4,2.58,2.47,80,3,80.3%,76%,2,778,2.2%,23.1%,3.9%,63.9%,72.0%,3.7%,19.3%,1.0%,7.5%,7.5%,30.0%,59.3%,4,3,4,4,4,82%,3,71%,2,3,90.2%,80%,3,96.5%,85%,2,11.0
151,09X517_2015,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,60.9,2.13,2.03,84,4,83.6%,76%,2,427,0.7%,50.4%,11.7%,65.6%,45.4%,8.9%,21.8%,2.3%,20.4%,20.4%,63.8%,58.6%,4,3,4,4,3,85%,3,82%,3,3,79.8%,85%,3,96.0%,83%,2,11.0
152,09X525_2015,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,53.3,2.16,2.07,74,2,82.7%,70%,2,686,0.4%,35.7%,9.8%,68.8%,61.7%,11.1%,24.6%,0.6%,9.0%,9.0%,49.2%,59.5%,3,3,3,3,3,78%,3,73%,2,2,81.7%,73%,2,95.5%,85%,2,0.8
153,09X543_2015,HIGH SCHOOL FOR VIOLIN AND DANCE,58.3,2.15,2.07,71,2,85.8%,70%,2,384,0.5%,34.1%,11.7%,70.3%,64.6%,0.5%,26.0%,0.3%,21.9%,21.9%,60.9%,69.6%,3,2,3,2,2,78%,2,74%,2,2,79.2%,74%,2,96.0%,83%,2,4.3
154,10X141_2015,RIVERDALE / KINGSBRIDGE ACADEMY MIDDLE SCHOOL / HI,79.6,2.56,2.48,81,3,41.8%,75%,2,1381,7.7%,12.3%,5.4%,31.6%,55.7%,6.6%,20.7%,23.7%,3.7%,3.7%,29.4%,86.4%,4,3,3,4,3,84%,3,75%,2,3,91.0%,82%,3,96.6%,86%,3,8.0
155,10X213_2015,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,67.4,2.22,2.23,85,3,75.3%,74%,2,417,6.7%,34.3%,9.8%,59.5%,55.9%,0.5%,20.9%,1.4%,10.6%,10.6%,50.2%,74.1%,3,2,2,3,2,85%,2,70%,2,3,83.5%,76%,2,96.7%,86%,2,4.2
156,10X225_2015,THEATRE ARTS PRODUCTION COMPANY SCHOOL,75.5,2.39,2.21,87,3,80.6%,80%,3,632,1.2%,29.2%,5.2%,63.1%,66.6%,1.0%,18.6%,0.7%,7.9%,7.9%,38.0%,79.1%,3,3,3,3,2,84%,2,76%,2,3,88.9%,81%,3,96.4%,91%,3,3.3
157,10X237_2015,THE MARIE CURIE SCHOOL FOR MEDICINE NURSING AND HE,66.7,2.35,2.24,78,3,75.9%,70%,2,583,2.7%,35.7%,9.6%,59.7%,56.9%,2.6%,18.9%,3.3%,10.5%,10.5%,34.9%,71.4%,3,3,4,4,3,84%,3,74%,2,3,86.0%,79%,3,96.4%,85%,3,11.0
