DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
08X332,Holcombe L. Rucker School of Community Research,High School,236,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,85%,94%,84%,84%,74%,91%,Developing,Developing,Developing,Proficient,Proficient,14-Apr-15,2.06,1.99,11.00%,29.70%,8.10%,83.60%,18.60%,66.10%,0.40%,43.20%,54.70%,0.40%,9,82.40%,85.00%,45.00%,94.80%
08X348,Schuylerville Preparatory High School,High School,177,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91%,95%,87%,95%,76%,96%,Proficient,Developing,Developing,Proficient,Developing,1-Apr-15,2.32,2.14,14.70%,22.00%,0.60%,75.00%,11.30%,61.60%,4.00%,22.00%,66.70%,6.20%,2,83.30%,90.00%,34.80%,96.20%
08X349,Bronx River High School,High School,204,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93%,90%,81%,88%,76%,87%,Proficient,Proficient,Well Developed,Proficient,Well Developed,15-Apr-15,2.18,2.06,14.70%,24.00%,1.00%,75.80%,15.70%,60.30%,2.90%,29.90%,60.80%,2.50%,2,53.30%,87.50%,44.10%,97.00%
08X367,"Archimedes Academy for Math, Science and Technolog",High School,637,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,81%,78%,80%,66%,71%,83%,Proficient,Proficient,Proficient,Well Developed,Proficient,4-Dec-14,2.25,2.16,6.30%,28.70%,12.40%,72.30%,9.10%,53.70%,5.50%,30.90%,60.60%,2.20%,8,71.20%,87.70%,36.50%,96.70%
08X376,Antonia Pantoja Preparatory Academy: A College Boa,High School,450,N/A,N/A,Approaching Target,N/A,Approaching Target,Approaching Target,Approaching Target,84%,71%,74%,61%,74%,85%,Developing,Developing,Developing,Proficient,Developing,5-May-15,2.2,2.05,14.30%,25.30%,1.30%,75.60%,16.00%,54.00%,6.30%,26.20%,65.40%,1.30%,0.5,70.30%,80.90%,52.10%,95.70%
08X405,Herbert H. Lehman High School,High School,1535,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,N/A,N/A,Approaching Target,82%,72%,73%,58%,70%,78%,Proficient,Proficient,Proficient,Proficient,Proficient,1-Apr-15,2.25,2.13,10.30%,25.30%,11.60%,70.70%,7.80%,54.50%,9.20%,23.60%,54.90%,10.60%,3.8,92.70%,79.40%,52.10%,94.40%
08X432,BRONX BRIDGES HIGH SCHOOL,High School,333,Approaching Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,Approaching Target,80%,80%,82%,68%,72%,83%,Developing,Developing,Proficient,Well Developed,Proficient,8-Jan-15,1.8,1.98,82.30%,11.70%,0.60%,83.40%,27.00%,63.10%,7.80%,6.60%,82.90%,1.80%,0.8,38.70%,83.20%,54.00%,96.70%
08X452,Bronx Guild,High School,326,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,87%,94%,80%,88%,78%,92%,Proficient,Proficient,Proficient,Well Developed,Proficient,8-May-15,2.17,1.98,10.40%,30.70%,0.60%,82.10%,13.50%,66.30%,4.00%,32.20%,61.70%,1.20%,9,63.60%,74.20%,72.80%,97.70%
08X519,Felisa Rincon de Gautier Institute for Law and Pub,High School,307,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,80%,82%,71%,77%,80%,84%,Proficient,Developing,Developing,Proficient,Proficient,5-Feb-05,2.13,1.98,10.10%,27.40%,6.20%,82.10%,20.50%,65.10%,2.00%,25.40%,67.80%,2.90%,9.9,52.20%,79.30%,56.90%,96.50%
08X530,Banana Kelly High School,High School,325,Approaching Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,78%,59%,77%,47%,70%,65%,Developing,Developing,Developing,Developing,Developing,17-Mar-15,2.02,1.94,11.40%,31.70%,14.80%,85.10%,18.50%,70.20%,0.00%,37.20%,60.60%,1.20%,2.6,40.00%,71.50%,74.60%,97.90%
08X558,Westchester Square Academy,High School,396,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87%,93%,84%,94%,78%,93%,Proficient,Proficient,Well Developed,Proficient,Proficient,10-Dec-14,2.37,2.19,6.80%,22.50%,1.30%,70.10%,9.30%,55.30%,4.50%,26.80%,56.60%,8.80%,3,32.30%,86.50%,42.30%,97.30%
08X559,School for Tourism and Hospitality,High School,240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87%,83%,77%,81%,80%,91%,Proficient,Developing,Proficient,Proficient,Proficient,18-Dec-14,2.13,2.06,15.40%,17.10%,2.50%,84.70%,15.80%,67.50%,1.30%,35.40%,60.40%,0.00%,2.4,61.90%,83.10%,48.90%,98.20%
08X561,Bronx Compass High School,High School,332,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83%,89%,86%,88%,75%,94%,Proficient,Developing,Proficient,Well Developed,Proficient,13-Mar-15,2.26,2.1,8.10%,28.30%,0.90%,78.80%,16.30%,61.70%,2.40%,34.60%,60.20%,0.90%,3,28.00%,80.20%,60.60%,96.40%
08X650,Jane Addams High School for Academic Careers,High School,147,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87%,84%,83%,74%,82%,92%,N/A,N/A,N/A,N/A,N/A,,2.03,2.07,8.80%,31.30%,0.70%,84.30%,4.10%,71.40%,0.00%,32.70%,63.90%,2.70%,3.4,100.00%,70.70%,75.70%,94.70%
09X227,Bronx Collegiate Academy,High School,382,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,85%,94%,86%,94%,79%,94%,Proficient,Developing,Proficient,Well Developed,Proficient,4-May-15,2.09,2.01,27.20%,23.00%,8.10%,83.30%,16.80%,67.30%,1.00%,28.50%,69.10%,0.30%,4.3,82.60%,80.10%,57.60%,94.50%
09X231,Eagle Academy for Young Men,High School,608,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,82%,86%,77%,83%,85%,89%,Proficient,Developing,Developing,Well Developed,Proficient,15-May-15,2.24,2.15,2.20%,27.90%,7.00%,70.50%,8.10%,48.20%,0.30%,60.70%,36.00%,0.50%,4.9,82.90%,86.10%,39.70%,95.20%
09X241,Urban Assembly School for Applied Math and Science,High School,619,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,82%,82%,80%,79%,77%,86%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"May 2-3, 2013",2.33,2.42,5.10%,20.20%,0.60%,82.20%,7.40%,59.80%,1.40%,33.00%,64.10%,1.10%,2.9,55.80%,89.60%,33.70%,96.70%
09X250,Eximius College Preparatory Academy: A College Boa,High School,449,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,90%,92%,86%,88%,86%,93%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,15-Jan-15,2.33,2.23,8.90%,20.00%,0.70%,79.60%,12.70%,62.10%,1.10%,45.20%,52.10%,0.70%,3.8,66.70%,89.30%,34.60%,97.40%
09X252,Mott Hall Bronx High School,High School,402,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,75%,84%,82%,78%,76%,89%,Proficient,Proficient,Proficient,Well Developed,Proficient,15-May-15,2.26,2.28,10.90%,23.40%,10.40%,84.00%,9.00%,69.20%,1.20%,20.10%,75.60%,1.20%,3.7,37.00%,85.90%,41.30%,97.10%
09X260,Bronx Center for Science and Mathematics,High School,457,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,83%,91%,86%,87%,75%,93%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,27-Apr-15,2.74,2.64,3.30%,17.70%,3.90%,75.30%,6.60%,58.00%,6.30%,25.40%,65.90%,1.50%,10,64.30%,92.00%,26.80%,97.10%
09X263,Validus Preparatory Academy: An Expeditionary Lear,High School,375,Approaching Target,Meeting Target,N/A,Approaching Target,Meeting Target,Meeting Target,Meeting Target,77%,81%,82%,78%,76%,89%,Developing,Developing,Developing,Proficient,Proficient,5-May-15,2.17,2.17,11.50%,22.40%,7.50%,83.70%,10.10%,66.70%,1.60%,26.90%,70.70%,0.80%,1,59.30%,84.30%,43.50%,95.90%
09X276,Leadership Institute,High School,207,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Exceeding Target,Exceeding Target,Approaching Target,84%,85%,79%,74%,86%,93%,Proficient,Developing,Proficient,Developing,Proficient,17-Dec-14,2.02,1.95,21.30%,30.00%,4.80%,90.20%,16.40%,75.80%,0.00%,34.30%,63.30%,1.90%,7.9,62.50%,74.90%,63.10%,97.40%
09X297,Morris Academy for Collaborative Studies,High School,471,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,87%,82%,83%,87%,74%,88%,Well Developed,Proficient,Well Developed,Proficient,Well Developed,10-Dec-14,2.14,2,18.70%,25.30%,5.10%,85.00%,14.90%,68.60%,0.80%,26.30%,72.00%,0.40%,2.5,82.90%,79.60%,56.50%,96.40%
09X324,Bronx Early College Academy for Teaching & Learnin,High School,503,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,90%,94%,84%,88%,74%,90%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,29-Apr-15,2.41,2.23,6.80%,15.10%,0.70%,81.90%,8.20%,59.90%,3.60%,28.70%,67.40%,0.40%,3.8,43.80%,85.80%,44.40%,95.90%
09X327,Comprehensive Model School Project M.S. 327,High School,628,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,N/A,93%,94%,85%,91%,79%,93%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,26-Mar-15,2.49,2.76,5.70%,21.50%,6.30%,86.20%,6.30%,70.30%,0.00%,23.30%,76.00%,0.60%,0.9,61.40%,90.30%,27.40%,97.20%
09X329,DreamYard Preparatory School,High School,336,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,96%,97%,88%,94%,85%,96%,Developing,Developing,Developing,Proficient,Proficient,22-Apr-15,2.17,2.04,21.40%,19.60%,3.00%,85.90%,24.40%,68.20%,1.50%,33.60%,60.70%,1.20%,3.2,56.50%,79.20%,52.30%,96.90%
09X365,Academy for Language and Technology,High School,322,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,86%,89%,91%,85%,77%,89%,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"May 20-21, 2013",1.81,2.06,74.50%,4.30%,0.00%,83.10%,22.00%,61.20%,0.00%,0.30%,99.70%,0.00%,1.7,25.00%,91.70%,29.80%,98.10%
09X403,Bronx International High School,High School,409,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,92%,91%,87%,80%,80%,93%,Proficient,Proficient,Proficient,Proficient,Well Developed,18-Nov-14,1.78,1.91,88.30%,4.90%,0.00%,82.60%,24.90%,58.20%,3.40%,20.00%,74.10%,1.70%,9,80.00%,84.30%,40.70%,96.10%
09X404,School for Excellence,High School,421,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,91%,84%,79%,86%,74%,89%,Developing,Developing,Proficient,Proficient,Proficient,18-Mar-15,2.12,2.07,27.10%,27.80%,5.00%,87.50%,23.30%,72.40%,0.70%,26.60%,70.80%,1.00%,5.2,96.30%,75.30%,63.90%,95.40%
09X412,Bronx High School of Business,High School,339,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,81%,74%,78%,59%,72%,77%,Developing,Developing,Developing,Developing,Proficient,15-Apr-15,2.07,2.01,29.80%,26.30%,9.10%,82.50%,18.60%,59.60%,1.50%,33.30%,63.10%,1.20%,3.3,81.60%,78.90%,51.70%,96.20%
09X413,Bronx High School for Medical Science,High School,472,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,90%,92%,82%,81%,81%,91%,Developing,Developing,Developing,Developing,Developing,20-May-15,2.51,2.48,1.40%,9.50%,4.80%,80.10%,8.20%,60.50%,7.10%,36.70%,53.40%,0.70%,13,63.30%,92.80%,22.40%,98.10%
09X414,Jonathan Levin High School for Media and Communica,High School,160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84%,90%,80%,90%,89%,92%,Proficient,Developing,Developing,Proficient,Developing,21-May-15,2.05,1.98,40.00%,26.90%,10.60%,84.60%,21.30%,63.80%,1.30%,20.60%,76.90%,1.30%,0.8,100.00%,75.30%,69.80%,96.00%
09X505,"Bronx School for Law, Government and Justice",High School,778,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,82%,80%,80%,76%,71%,85%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,11-Dec-14,2.58,2.47,3.90%,19.30%,3.70%,80.30%,7.50%,63.90%,2.20%,23.10%,72.00%,1.00%,11,59.30%,90.20%,30.00%,96.50%
09X517,Frederick Douglass Academy III Secondary School,High School,427,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,85%,84%,85%,76%,82%,83%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,16-Jan-15,2.13,2.03,11.70%,21.80%,8.90%,83.60%,20.40%,65.60%,0.70%,50.40%,45.40%,2.30%,11,58.60%,79.80%,63.80%,96.00%
09X525,Bronx Leadership Academy High School,High School,686,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,78%,74%,73%,70%,73%,85%,Proficient,Proficient,Proficient,Proficient,Proficient,"February 6-7, 2014",2.16,2.07,9.80%,24.60%,11.10%,82.70%,9.00%,68.80%,0.40%,35.70%,61.70%,0.60%,0.8,59.50%,81.70%,49.20%,95.50%
09X543,High School for Violin and Dance,High School,384,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,78%,71%,74%,70%,74%,83%,Proficient,Developing,Developing,Developing,Proficient,21-Nov-14,2.15,2.07,11.70%,26.00%,0.50%,85.80%,21.90%,70.30%,0.50%,34.10%,64.60%,0.30%,4.3,69.60%,79.20%,60.90%,96.00%
09X564,Claremont International HS,High School,257,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79%,88%,84%,78%,82%,87%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,15-Apr-15,1.81,1.9,90.30%,2.30%,0.80%,85.60%,41.60%,54.90%,4.70%,20.60%,72.80%,1.20%,3,22.20%,88.90%,32.10%,98.30%
10X141,Riverdale / Kingsbridge Academy (Middle School / H,High School,1381,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,84%,81%,82%,75%,75%,86%,Proficient,Proficient,Proficient,Well Developed,Well Developed,3-Dec-14,2.56,2.48,5.40%,20.70%,6.60%,41.80%,3.70%,31.60%,7.70%,12.30%,55.70%,23.70%,8,86.40%,91.00%,29.40%,96.60%
10X213,Bronx Engineering and Technology Academy,High School,417,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,85%,85%,76%,74%,70%,86%,Developing,Developing,Developing,Proficient,Proficient,4-Feb-15,2.22,2.23,9.80%,20.90%,0.50%,75.30%,10.60%,59.50%,6.70%,34.30%,55.90%,1.40%,4.2,74.10%,83.50%,50.20%,96.70%
10X225,Theatre Arts Production Company School,High School,632,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,84%,87%,81%,80%,76%,91%,Proficient,Proficient,Developing,Proficient,Proficient,29-Apr-15,2.39,2.21,5.20%,18.60%,1.00%,80.60%,7.90%,63.10%,1.20%,29.20%,66.60%,0.70%,3.3,79.10%,88.90%,38.00%,96.40%
10X237,"The Marie Curie School for Medicine, Nursing, and",High School,583,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,84%,78%,79%,70%,74%,85%,Well Developed,Proficient,Proficient,Well Developed,Proficient,22-Dec-14,2.35,2.24,9.60%,18.90%,2.60%,75.90%,10.50%,59.70%,2.70%,35.70%,56.90%,3.30%,11,71.40%,86.00%,34.90%,96.40%
10X243,West Bronx Academy for the Future,High School,599,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,84%,85%,81%,82%,74%,89%,Developing,Developing,Developing,Proficient,Proficient,13-May-15,2.23,2.08,9.50%,25.00%,3.60%,85.10%,6.00%,67.30%,2.70%,21.10%,72.00%,3.00%,11,75.00%,87.50%,37.30%,97.30%
10X264,Bronx Academy for Software Engineering (BASE),High School,226,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81%,89%,87%,87%,81%,95%,Proficient,Proficient,Proficient,Proficient,Well Developed,22-May-15,2.41,2.39,7.10%,28.80%,10.60%,70.90%,15.00%,51.80%,7.50%,28.80%,60.60%,2.70%,2,29.40%,88.80%,30.30%,97.60%
10X268,Kingsbridge International High School,High School,461,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,83%,87%,84%,86%,77%,91%,Developing,Developing,Developing,Proficient,Proficient,15-Apr-15,1.78,1.99,88.50%,3.50%,0.00%,82.70%,37.10%,52.50%,6.50%,5.20%,85.90%,2.00%,10,92.30%,86.80%,36.20%,98.10%
10X284,Bronx School of Law and Finance,High School,426,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,86%,74%,77%,75%,80%,88%,Proficient,Developing,Proficient,Proficient,Proficient,"January 15-16, 2014",2.24,2.13,8.90%,24.60%,6.30%,81.90%,12.90%,66.00%,2.10%,30.30%,64.80%,2.60%,3,70.40%,82.00%,54.40%,96.50%
10X342,International School for Liberal Arts,High School,561,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,91%,93%,87%,88%,82%,92%,Proficient,Proficient,Developing,Proficient,Well Developed,18-Mar-15,1.94,2.09,67.20%,6.90%,0.30%,85.70%,25.90%,61.30%,0.00%,0.00%,99.50%,0.50%,3.3,80.50%,93.10%,19.70%,97.50%
10X351,Bronx Collaborative High School,High School,223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97%,99%,86%,97%,80%,95%,Proficient,Developing,Developing,Proficient,Proficient,24-Nov-14,2.25,2.18,16.10%,22.90%,0.00%,85.50%,19.70%,66.80%,1.30%,29.60%,62.30%,4.90%,2,23.50%,71.60%,96.50%,97.70%
10X353,World View High School,High School,173,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97%,97%,84%,96%,77%,93%,Proficient,Proficient,Proficient,Proficient,Well Developed,7-Jan-15,2.21,2.14,34.70%,22.50%,5.20%,80.90%,18.50%,59.00%,1.20%,27.70%,68.80%,1.20%,1.3,45.50%,89.60%,36.00%,98.40%
10X368,In-Tech Academy (M.S. / High School 368),High School,1022,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,77%,73%,81%,64%,71%,84%,Proficient,Proficient,Developing,Proficient,Proficient,29-Oct-13,2.46,2.23,9.20%,17.20%,1.90%,74.90%,8.00%,59.80%,2.80%,10.80%,82.80%,3.40%,4.7,75.80%,92.70%,21.30%,96.90%
10X374,Knowledge and Power Preparatory Academy Internatio,High School,487,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,88%,95%,88%,92%,77%,93%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,22-Apr-15,2.31,2.23,15.00%,22.40%,3.50%,76.60%,11.30%,57.10%,2.50%,32.20%,61.40%,2.10%,7.9,39.50%,85.10%,48.40%,97.60%
10X433,High School for Teaching and the Professions,High School,486,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,83%,94%,84%,91%,85%,92%,Proficient,Developing,Developing,Well Developed,Proficient,20-May-15,2.18,2.09,21.20%,24.70%,1.20%,80.70%,12.10%,61.70%,1.90%,20.40%,74.50%,2.70%,0.9,84.80%,82.20%,48.70%,96.20%
10X434,Belmont Preparatory High School,High School,416,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,86%,86%,84%,78%,67%,88%,Proficient,Proficient,Developing,Proficient,Developing,14-Jan-15,2.36,2.3,6.30%,15.40%,5.30%,73.50%,7.50%,54.30%,2.20%,30.00%,65.60%,1.90%,8,83.90%,89.80%,31.40%,96.60%
10X437,Fordham High School for the Arts,High School,401,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,86%,85%,89%,80%,67%,89%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,"December 4-5, 2013",2.47,2.26,4.00%,19.50%,0.50%,75.40%,8.20%,60.60%,1.00%,30.90%,65.10%,2.50%,11,36.40%,92.60%,23.00%,96.70%
10X438,Fordham Leadership Academy for Business and Techno,High School,438,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,85%,86%,79%,78%,75%,86%,Developing,Developing,Developing,Proficient,Developing,25-Mar-15,2.11,2.03,16.70%,28.80%,11.60%,85.50%,17.40%,69.90%,1.80%,27.60%,67.80%,2.70%,4,84.80%,83.40%,50.50%,96.90%
10X439,Bronx High School for Law and Community Service,High School,398,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,86%,93%,81%,92%,73%,93%,Proficient,Proficient,Proficient,Well Developed,Well Developed,4-Mar-15,2.16,2.06,15.10%,27.10%,2.80%,86.30%,18.60%,72.40%,1.30%,24.40%,70.90%,1.80%,4.8,83.30%,83.40%,51.50%,96.60%
10X440,DeWitt Clinton High School,High School,2109,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,80%,80%,79%,70%,63%,83%,Developing,Developing,Developing,Developing,Developing,1-Apr-15,2.32,2.22,21.70%,18.60%,9.30%,74.90%,14.50%,54.90%,8.60%,31.60%,54.50%,3.60%,2,98.50%,81.20%,45.80%,95.30%
10X442,"Celia Cruz Bronx High School of Music, The",High School,430,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,81%,81%,79%,77%,77%,86%,Developing,Proficient,Developing,Proficient,Developing,"March 3-4, 2014",2.51,2.33,2.60%,14.00%,0.00%,74.10%,10.50%,56.50%,1.40%,25.30%,70.00%,1.20%,2.3,82.10%,89.60%,34.10%,95.60%
10X445,Bronx High School of Science,High School,3015,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,80%,83%,87%,81%,68%,89%,Well Developed,Proficient,Proficient,Well Developed,Proficient,1-May-15,3.85,3.98,0.00%,1.30%,0.00%,29.80%,1.00%,17.90%,62.80%,2.60%,5.50%,22.10%,1.8,75.90%,97.00%,5.50%,97.40%
10X477,Marble Hill High School for International Studies,High School,449,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,Exceeding Target,85%,87%,89%,81%,73%,93%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,16-Apr-15,2.45,2.55,29.60%,9.10%,0.00%,76.00%,13.60%,59.90%,8.90%,24.50%,61.00%,5.10%,7.8,89.70%,93.90%,16.10%,96.40%
10X524,Crotona International High School,High School,336,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,78%,78%,83%,84%,77%,88%,Proficient,Developing,Proficient,Proficient,Proficient,16-Jan-15,1.73,1.93,87.20%,4.80%,1.20%,83.20%,31.30%,55.70%,1.80%,10.40%,85.70%,1.80%,4,87.50%,87.80%,40.50%,96.30%
10X546,Bronx Theatre High School,High School,428,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,79%,87%,75%,74%,97%,84%,Proficient,Developing,Proficient,Proficient,Proficient,19-Dec-15,2.23,2.06,10.00%,23.80%,2.80%,78.80%,14.70%,60.70%,0.50%,30.10%,67.10%,1.60%,0.4,72.40%,80.90%,61.60%,95.90%
10X549,Discovery High School,High School,530,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,91%,96%,84%,94%,83%,96%,Proficient,Proficient,Proficient,Proficient,Proficient,27-Oct-14,2.2,2.09,20.90%,25.50%,11.10%,78.70%,11.10%,61.70%,2.50%,17.40%,77.20%,2.30%,8,62.10%,85.60%,36.20%,97.50%
10X565,High School for Energy and Technology,High School,311,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86%,92%,84%,94%,75%,95%,Well Developed,Proficient,Proficient,Well Developed,Proficient,21-Apr-15,2.25,2.22,7.70%,21.20%,0.60%,81.80%,10.60%,67.20%,1.30%,26.70%,70.10%,1.00%,3,20.00%,85.90%,39.70%,97.80%
10X660,Grace Dodge Career and Technical Education High Sc,High School,178,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73%,76%,80%,71%,72%,81%,N/A,N/A,N/A,N/A,N/A,,2.03,1.99,27.00%,39.90%,15.20%,80.10%,6.70%,65.20%,2.20%,21.30%,75.30%,1.10%,3.3,94.10%,73.20%,67.60%,95.30%
10X696,High School of American Studies at Lehman College,High School,376,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,88%,92%,91%,95%,78%,96%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,25-Feb-15,3.8,3.75,0.00%,3.50%,0.30%,22.70%,1.10%,12.00%,23.10%,4.00%,15.20%,50.80%,8.8,96.00%,96.60%,4.50%,97.00%
11X249,Bronx Health Sciences High School,High School,374,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,79%,82%,80%,73%,72%,87%,Proficient,Developing,Developing,Well Developed,Proficient,19-Mar-15,2.45,2.34,3.20%,9.60%,2.90%,62.50%,7.50%,46.30%,7.50%,51.90%,34.50%,2.70%,11,100.00%,92.50%,19.30%,98.10%
11X253,Bronx High School for Writing and Communication Ar,High School,389,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,83%,88%,84%,87%,76%,92%,Proficient,Developing,Proficient,Proficient,Proficient,19-Nov-14,2.27,2.02,7.50%,23.90%,2.60%,75.10%,13.60%,59.60%,3.30%,45.00%,49.10%,1.30%,3.9,80.80%,83.40%,50.20%,97.20%
